 Department of Commerce ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Export Import Data Bank ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Export :: Country-wise ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 S.No. , Country ,2008-2009, %Share ,2009-2010, %Share , 2010-2011 , %Share , 2011-2012 , %Share , 2012-2013 , %Share , 2013-2014 , %Share , 2014-2015 , %Share , 2015-2016 , %Share , 2016-2017 , %Share , 2017-2018 , %Share , 2018-2019 , %Share , 2019-2020 , %Share , 2020-2021 , %Share , 2021-2022 , %Share , 2022-2023 , %Share , 2023-2024 , %Share , 2024-2025 , %Share 
 15 , AZERBAIJAN ,15910.20, 0 ,14202.10, 0 ," 17,528 ", 0 ," 34,982 ", 0 ," 47,495 ", 0 ," 74,670 ", 0 ," 67,597 ", 0 ," 21,822 ", 0 ," 27,054 ", 0 ," 21,714 ", 0 ," 30,627 ", 0 ," 37,606 ", 0 ," 37,622 ", 0 ," 27,149 ", 0 ," 81,373 ", 0 ," 74,290 ", 0 ," 11,918 ", 0 
 16 , BAHAMAS ,1034.54, 0 ,411243.13, 0 ," 993,038 ", 1 ," 1,056,149 ", 1 ," 1,449,977 ", 1 ," 130,219 ", 0 ," 73,343 ", 0 ," 7,892 ", 0 ," 3,982 ", 0 ," 5,204 ", 0 ," 4,258 ", 0 ," 43,132 ", 0 ," 3,373 ", 0 ," 6,012 ", 0 ," 10,344 ", 0 ," 88,348 ", 0 ," 1,217 ", 0 
 17 , BAHARAIN IS ,131407.49, 0 ,118507.43, 0 ," 293,277 ", 0 ," 211,834 ", 0 ," 328,367 ", 0 ," 376,321 ", 0 ," 289,651 ", 0 ," 425,940 ", 0 ," 316,259 ", 0 ," 358,885 ", 0 ," 521,482 ", 0 ," 396,962 ", 0 ," 390,363 ", 0 ," 670,605 ", 0 ," 778,780 ", 0 ," 754,173 ", 0 ," 111,940 ", 0 
 18 , BANGLADESH PR ,1131721.47, 1 ,1150106.83, 1 ," 1,475,248 ", 1 ," 1,838,669 ", 1 ," 2,798,258 ", 2 ," 3,741,126 ", 2 ," 3,944,038 ", 2 ," 3,952,726 ", 2 ," 4,574,044 ", 2 ," 5,553,699 ", 3 ," 6,439,152 ", 3 ," 5,817,661 ", 3 ," 7,150,929 ", 3 ," 12,053,473 ", 4 ," 9,778,451 ", 3 ," 9,161,333 ", 3 ," 1,488,646 ", 2 
 19 , BARBADOS ,1761.65, 0 ,2041.99, 0 ," 2,482 ", 0 ," 3,616 ", 0 ," 3,193 ", 0 ," 3,896 ", 0 ," 6,240 ", 0 ," 6,896 ", 0 ," 8,294 ", 0 ," 8,217 ", 0 ," 8,708 ", 0 ," 9,043 ", 0 ," 8,200 ", 0 ," 12,079 ", 0 ," 19,253 ", 0 ," 15,595 ", 0 ," 5,038 ", 0 
 20 , BELARUS ,16350.95, 0 ,17968.98, 0 ," 16,496 ", 0 ," 59,739 ", 0 ," 30,111 ", 0 ," 32,544 ", 0 ," 29,369 ", 0 ," 23,474 ", 0 ," 26,930 ", 0 ," 30,690 ", 0 ," 38,997 ", 0 ," 39,502 ", 0 ," 46,137 ", 0 ," 48,683 ", 0 ," 35,192 ", 0 ," 36,288 ", 0 ," 6,563 ", 0 
 21 , BELGIUM ,2030939.59, 2 ,1775704.94, 2 ," 2,634,704 ", 2 ," 3,420,615 ", 2 ," 2,992,640 ", 2 ," 3,868,686 ", 2 ," 3,371,799 ", 2 ," 3,295,875 ", 2 ," 3,791,504 ", 2 ," 4,000,725 ", 2 ," 4,700,768 ", 2 ," 4,116,420 ", 2 ," 3,868,278 ", 2 ," 7,522,465 ", 2 ," 7,099,803 ", 2 ," 6,487,206 ", 2 ," 873,490 ", 1 
 22 , BELIZE ,1312.25, 0 ,1168.78, 0 ," 6,525 ", 0 ," 12,549 ", 0 ," 12,809 ", 0 ," 13,402 ", 0 ," 14,970 ", 0 ," 9,513 ", 0 ," 10,223 ", 0 ," 8,684 ", 0 ," 11,886 ", 0 ," 10,106 ", 0 ," 6,965 ", 0 ," 11,382 ", 0 ," 12,837 ", 0 ," 11,146 ", 0 ," 1,959 ", 0 
 23 , BENIN ,93677.50, 0 ,104637.95, 0 ," 119,940 ", 0 ," 308,301 ", 0 ," 260,476 ", 0 ," 463,642 ", 0 ," 303,851 ", 0 ," 279,795 ", 0 ," 300,125 ", 0 ," 308,926 ", 0 ," 298,715 ", 0 ," 229,744 ", 0 ," 410,245 ", 0 ," 534,781 ", 0 ," 720,409 ", 0 ," 621,582 ", 0 ," 133,101 ", 0 
 24 , BERMUDA ,351.17, 0 ,390.76, 0 , 411 , 0 , 481 , 0 , 734 , 0 ," 1,574 ", 0 ," 1,668 ", 0 ," 1,691 ", 0 ," 2,819 ", 0 ," 2,008 ", 0 ," 2,204 ", 0 ," 1,759 ", 0 ," 3,311 ", 0 ," 4,125 ", 0 ," 4,052 ", 0 ," 5,038 ", 0 , 614 , 0 
 25 , BHUTAN ,50927.26, 0 ,56085.31, 0 ," 80,152 ", 0 ," 110,440 ", 0 ," 126,739 ", 0 ," 215,495 ", 0 ," 205,103 ", 0 ," 306,808 ", 0 ," 341,354 ", 0 ," 352,002 ", 0 ," 459,133 ", 0 ," 523,529 ", 0 ," 519,322 ", 0 ," 660,459 ", 0 ," 866,258 ", 0 ," 797,994 ", 0 ," 155,901 ", 0 
 26 , BOLIVIA ,4382.33, 0 ,4617.34, 0 ," 7,144 ", 0 ," 12,072 ", 0 ," 31,193 ", 0 ," 32,033 ", 0 ," 43,314 ", 0 ," 48,653 ", 0 ," 53,259 ", 0 ," 67,857 ", 0 ," 73,488 ", 0 ," 80,389 ", 0 ," 69,620 ", 0 ," 87,736 ", 0 ," 61,950 ", 0 ," 59,066 ", 0 ," 11,044 ", 0 
 27 , BOSNIA-HRZGOVIN ,2449.17, 0 ,1279.94, 0 ," 1,450 ", 0 ," 2,798 ", 0 ," 3,762 ", 0 ," 7,041 ", 0 ," 10,927 ", 0 ," 12,948 ", 0 ," 8,794 ", 0 ," 9,914 ", 0 ," 11,914 ", 0 ," 10,848 ", 0 ," 11,161 ", 0 ," 12,679 ", 0 ," 13,886 ", 0 ," 24,217 ", 0 ," 2,114 ", 0 
 28 , BOTSWANA ,11704.04, 0 ,10426.09, 0 ," 15,288 ", 0 ," 24,181 ", 0 ," 28,005 ", 0 ," 33,226 ", 0 ," 27,079 ", 0 ," 34,149 ", 0 ," 51,686 ", 0 ," 69,840 ", 0 ," 125,352 ", 0 ," 126,532 ", 0 ," 127,412 ", 0 ," 207,736 ", 0 ," 135,225 ", 0 ," 90,421 ", 0 ," 30,713 ", 0 
 29 , BR VIRGN IS ,17119.26, 0 ,38970.64, 0 , 189 , 0 , 479 , 0 , 300 , 0 , 243 , 0 , 405 , 0 , 554 , 0 , 276 , 0 , 492 , 0 ," 7,263 ", 0 , 351 , 0 , 188 , 0 , 267 , 0 , 366 , 0 , 529 , 0 , 262 , 0 
 30 , BRAZIL ,1187440.98, 1 ,1136483.36, 1 ," 1,833,586 ", 2 ," 2,757,688 ", 2 ," 3,287,202 ", 2 ," 3,387,064 ", 2 ," 3,634,024 ", 2 ," 1,726,086 ", 1 ," 1,609,748 ", 1 ," 1,974,731 ", 1 ," 2,661,743 ", 1 ," 2,811,824 ", 1 ," 3,136,034 ", 1 ," 4,834,956 ", 2 ," 7,960,684 ", 2 ," 4,980,913 ", 1 ," 1,027,996 ", 2 
 31 , BRUNEI ,7994.52, 0 ,11605.02, 0 ," 10,525 ", 0 ," 406,236 ", 0 ," 21,830 ", 0 ," 19,611 ", 0 ," 25,609 ", 0 ," 18,573 ", 0 ," 28,721 ", 0 ," 40,713 ", 0 ," 39,346 ", 0 ," 40,907 ", 0 ," 46,469 ", 0 ," 32,169 ", 0 , 22 , -   ,,," 6,312 ", 0 
 32 , BULGARIA ,33011.76, 0 ,24128.28, 0 ," 31,737 ", 0 ," 52,059 ", 0 ," 85,393 ", 0 ," 101,802 ", 0 ," 163,556 ", 0 ," 94,946 ", 0 ," 160,506 ", 0 ," 111,677 ", 0 ," 147,874 ", 0 ," 112,420 ", 0 ," 126,032 ", 0 ," 184,187 ", 0 ," 55,772 ", 0 ," 55,800 ", 0 ," 33,115 ", 0 
 33 , BURKINA FASO ,21960.15, 0 ,17337.36, 0 ," 20,830 ", 0 ," 40,626 ", 0 ," 46,830 ", 0 ," 62,445 ", 0 ," 68,849 ", 0 ," 71,611 ", 0 ," 77,113 ", 0 ," 95,653 ", 0 ," 127,193 ", 0 ," 109,075 ", 0 ," 153,836 ", 0 ," 146,552 ", 0 ," 170,058 ", 0 ," 185,187 ", 0 ," 18,286 ", 0 
 34 , BURUNDI ,6494.28, 0 ,5964.60, 0 ," 7,342 ", 0 ," 11,666 ", 0 ," 17,720 ", 0 ," 18,550 ", 0 ," 19,256 ", 0 ," 19,000 ", 0 ," 24,027 ", 0 ," 24,546 ", 0 ," 34,080 ", 0 ," 41,436 ", 0 ," 47,468 ", 0 ," 45,052 ", 0 ," 141,940 ", 0 ," 99,983 ", 0 ," 5,407 ", 0 
 35 , C AFRI REP ,1122.73, 0 ,2409.50, 0 ," 1,597 ", 0 ," 3,052 ", 0 ," 4,584 ", 0 ," 4,615 ", 0 ," 4,736 ", 0 ," 6,055 ", 0 ," 6,898 ", 0 ," 19,251 ", 0 ," 19,131 ", 0 ," 39,527 ", 0 ," 17,567 ", 0 ," 15,044 ", 0 ," 34,539 ", 0 ," 31,805 ", 0 ," 2,590 ", 0 
 36 , CAMBODIA ,21507.71, 0 ,21553.19, 0 ," 30,483 ", 0 ," 47,753 ", 0 ," 60,999 ", 0 ," 85,809 ", 0 ," 87,410 ", 0 ," 93,502 ", 0 ," 70,496 ", 0 ," 78,293 ", 0 ," 137,082 ", 0 ," 133,177 ", 0 ," 124,752 ", 0 ," 148,094 ", 0 ," 16,583 ", 0 ," 54,003 ", 0 ," 25,393 ", 0 
 37 , CAMEROON ,42335.75, 0 ,36388.98, 0 ," 55,158 ", 0 ," 95,134 ", 0 ," 136,482 ", 0 ," 157,036 ", 0 ," 152,553 ", 0 ," 124,568 ", 0 ," 99,824 ", 0 ," 125,015 ", 0 ," 124,948 ", 0 ," 162,125 ", 0 ," 206,335 ", 0 ," 300,937 ", 0 ," 177,043 ", 0 ," 153,434 ", 0 ," 78,818 ", 0 
 38 , CANADA ,624678.79, 1 ,532057.94, 1 ," 613,989 ", 1 ," 992,374 ", 1 ," 1,108,246 ", 1 ," 1,234,404 ", 1 ," 1,343,068 ", 1 ," 1,320,680 ", 1 ," 1,343,585 ", 1 ," 1,615,354 ", 1 ," 1,993,563 ", 1 ," 2,021,484 ", 1 ," 2,191,316 ", 1 ," 2,807,082 ", 1 ," 448,318 ", 0 ," 375,987 ", 0 ," 536,225 ", 1 
 39 , CANARY IS ,,,27.25, -   , 64 , 0 , 3 , -   , 4 , -   , 2 , -   , 11 , -   ,,, 840 , 0 , 953 , 0 ," 1,111 ", 0 ," 1,542 ", 0 ," 2,453 ", 0 ," 4,674 ", 0 ," 3,293,897 ", 1 ," 3,183,685 ", 1 , 542 , 0 
 40 , CAPE VERDE IS ,175.76, 0 ,330.17, 0 , 226 , 0 , 220 , 0 , 513 , 0 , 870 , 0 ," 2,502 ", 0 , 937 , 0 ," 3,180 ", 0 ," 2,594 ", 0 ," 3,047 ", 0 ," 4,698 ", 0 ," 3,188 ", 0 ," 4,945 ", 0 ," 3,600 ", 0 ," 2,612 ", 0 ," 55,013 ", 0 
