 Department of Commerce ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Export Import Data Bank ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Export :: Country-wise ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 S.No. , Country ,2008-2009, %Share ,2009-2010, %Share , 2010-2011 , %Share , 2011-2012 , %Share , 2012-2013 , %Share , 2013-2014 , %Share , 2014-2015 , %Share , 2015-2016 , %Share , 2016-2017 , %Share , 2017-2018 , %Share , 2018-2019 , %Share , 2019-2020 , %Share , 2020-2021 , %Share , 2021-2022 , %Share , 2022-2023 , %Share , 2023-2024 , %Share , 2024-2025 , %Share 
 55 , CROATIA ,39161.66, 0 ,42375.39, 0 ," 11,627 ", 0 ," 54,953 ", 0 ," 72,678 ", 0 ," 84,231 ", 0 ," 22,828 ", 0 ," 35,325 ", 0 ," 48,036 ", 0 ," 64,629 ", 0 ," 300,326 ", 0 ," 351,948 ", 0 ," 66,830 ", 0 ," 104,771 ", 0 ," 64,742 ", 0 ," 33,289 ", 0 ," 12,125 ", 0 
 56 , CUBA ,17075.91, 0 ,10781.08, 0 ," 19,731 ", 0 ," 17,407 ", 0 ," 19,453 ", 0 ," 21,484 ", 0 ,,, 5 , -   ," 357,749 ", 0 ," 261,295 ", 0 ," 522,611 ", 0 ," 519,857 ", 0 ," 359,359 ", 0 ," 468,796 ", 0 ," 65,837 ", 0 ," 78,585 ", 0 ," 245,092 ", 0 
 57 , CYPRUS ,114200.89, 0 ,22192.93, 0 ," 98,191 ", 0 ," 27,275 ", 0 ," 29,991 ", 0 ," 37,524 ", 0 ," 31,254 ", 0 ," 39,062 ", 0 ," 464,710 ", 0 ," 505,271 ", 0 ," 554,924 ", 0 ," 223,390 ", 0 ," 558,182 ", 0 ," 704,095 ", 0 ," 943,900 ", 0 ," 1,151,137 ", 0 ," 122,293 ", 0 
 58 , CZECH REPUBLIC ,83299.38, 0 ,84139.40, 0 ," 314,242 ", 0 ," 130,659 ", 0 ," 136,792 ", 0 ," 237,060 ", 0 ," 230,807 ", 0 ," 318,183 ", 0 ," 187,976 ", 0 ," 242,220 ", 0 ," 150,734 ", 0 ," 151,037 ", 0 ," 257,018 ", 0 ," 531,949 ", 0 ," 730,921 ", 0 ," 708,925 ", 0 ," 173,315 ", 0 
 59 , DENMARK ,267651.55, 0 ,274977.44, 0 ," 145,274 ", 0 ," 361,644 ", 0 ," 384,978 ", 0 ," 461,024 ", 0 ," 442,504 ", 0 ," 451,489 ", 0 ," 150,917 ", 0 ," 126,869 ", 0 , 902 , 0 ," 1,530 ", 0 ," 154,575 ", 0 ," 231,129 ", 0 ," 964,246 ", 0 ," 947,593 ", 0 ," 53,635 ", 0 
 60 , DJIBOUTI ,160806.39, 0 ,125780.53, 0 ," 37,698 ", 0 ," 229,462 ", 0 ," 223,755 ", 0 ," 184,398 ", 0 ," 145,294 ", 0 ," 133,358 ", 0 ," 1,646 ", 0 ," 1,360 ", 0 ," 207,885 ", 0 ," 179,121 ", 0 ," 1,375 ", 0 ," 2,088 ", 0 ," 264,187 ", 0 ," 287,232 ", 0 , 464 , 0 
 61 , DOMINIC REP ,23514.00, 0 ,26050.62, 0 ," 1,126 ", 0 ," 49,070 ", 0 ," 59,349 ", 0 ," 76,465 ", 0 ," 86,326 ", 0 ," 114,870 ", 0 ," 132,648 ", 0 ," 180,423 ", 0 ," 2,015,277 ", 1 ," 1,772,410 ", 1 ," 153,648 ", 0 ," 227,381 ", 0 ," 2,318 ", 0 ," 2,092 ", 0 ," 30,592 ", 0 
 62 , DOMINICA ,1197.18, 0 ,1410.01, 0 ," 55,276 ", 0 ," 1,359 ", 0 ," 1,311 ", 0 ," 1,477 ", 0 ," 1,552 ", 0 , 954 , 0 ," 1,385,513 ", 1 ," 1,542,054 ", 1 ," 54,874 ", 0 ," 56,255 ", 0 ," 1,676,019 ", 1 ," 2,792,214 ", 1 ," 321,624 ", 0 ," 380,382 ", 0 ," 487,461 ", 1 
 63 , ECUADOR ,58350.32, 0 ,42398.20, 0 ," 902,643 ", 1 ," 112,362 ", 0 ," 143,393 ", 0 ," 176,068 ", 0 ," 137,505 ", 0 ," 100,006 ", 0 ," 40,506 ", 0 ," 44,780 ", 0 ," 8,392 ", 0 ," 7,771 ", 0 ," 62,114 ", 0 ," 120,684 ", 0 ," 3,312,344 ", 1 ," 2,915,688 ", 1 ," 19,817 ", 0 
 64 , EGYPT A RP ,759464.44, 1 ,663818.34, 1 ," 10,945 ", 0 ," 1,173,550 ", 1 ," 1,571,394 ", 1 ," 1,556,074 ", 1 ," 1,844,254 ", 1 ," 1,527,181 ", 1 ," 7,534 ", 0 ," 6,949 ", 0 ," 6,199 ", 0 ," 4,201 ", 0 ," 10,506 ", 0 ," 9,267 ", 0 ," 101,786 ", 0 ," 106,731 ", 0 ," 1,875 ", 0 
 65 , EL SALVADOR ,7676.42, 0 ,6313.04, 0 ," 5,189 ", 0 ," 18,107 ", 0 ," 30,487 ", 0 ," 39,413 ", 0 ," 37,583 ", 0 ," 44,821 ", 0 ," 2,155 ", 0 ," 4,791 ", 0 ," 44,955 ", 0 ," 46,298 ", 0 ," 7,003 ", 0 ," 13,120 ", 0 ," 18,556 ", 0 ," 22,191 ", 0 ," 1,353 ", 0 
 66 , EQUTL GUINEA ,2969.06, 0 ,3616.87, 0 ," 11,206 ", 0 ," 8,186 ", 0 ," 11,594 ", 0 ," 10,477 ", 0 ," 9,165 ", 0 ," 11,590 ", 0 ," 65,412 ", 0 ," 51,771 ", 0 ," 536,426 ", 0 ," 565,451 ", 0 ," 38,439 ", 0 ," 46,301 ", 0 ," 14,607 ", 0 ," 8,324 ", 0 ," 14,780 ", 0 
 67 , ERITREA ,7354.63, 0 ,13599.65, 0 ," 24,136 ", 0 ," 15,376 ", 0 ," 10,380 ", 0 ," 10,045 ", 0 ," 8,590 ", 0 ," 4,220 ", 0 ," 518,647 ", 0 ," 440,940 ", 0 , 1 , -   , 56 , -   ," 506,976 ", 0 ," 507,683 ", 0 ," 56,760 ", 0 ," 64,038 ", 0 ," 68,635 ", 0 
 68 , ESTONIA ,22455.87, 0 ,13642.83, 0 ," 124,545 ", 0 ," 56,218 ", 0 ," 49,983 ", 0 ," 47,864 ", 0 ," 41,720 ", 0 ," 41,691 ", 0 , 392 , 0 , 193 , 0 ," 2,100 ", 0 , 637 , 0 ,,, 1 , -   ," 469,824 ", 0 ," 405,194 ", 0 , 0 , -   
 69 , ETHIOPIA ,114291.89, 0 ,120614.28, 0 , 18 , -   ," 224,165 ", 0 ," 408,163 ", 0 ," 495,038 ", 0 ," 479,184 ", 0 ," 519,816 ", 0 ," 35,177 ", 0 ," 34,975 ", 0 ," 42,448 ", 0 ," 39,403 ", 0 , 200 , 0 , 200 , 0 , 1 , -   ,,, 134 , 0 
 70 , FALKLAND IS ,42.67, 0 ,17.55, -   , 344 , 0 , 690 , 0 , 1 , -   ,,,,, 2 , -   ," 180,917 ", 0 ," 182,126 ", 0 ," 179,003 ", 0 ," 190,271 ", 0 ," 34,683 ", 0 ," 43,254 ", 0 , 289 , 0 ," 4,917 ", 0 ," 12,083 ", 0 
 71 , FAROE IS. ,27.29, -   ,68.13, 0 ," 12,983 ", 0 , 418 , 0 , 799 , 0 ," 1,854 ", 0 ," 1,576 ", 0 ," 1,146 ", 0 , 987 , 0 ," 1,408 ", 0 ," 1,324 ", 0 , 691 , 0 ," 210,474 ", 0 ," 256,689 ", 0 ," 64,389 ", 0 ," 63,154 ", 0 ," 78,371 ", 0 
 72 , FIJI IS ,39679.98, 0 ,12645.99, 0 ," 116,003 ", 0 ," 17,505 ", 0 ," 22,343 ", 0 ," 29,511 ", 0 ," 30,336 ", 0 ," 28,799 ", 0 ," 2,777 ", 0 ," 4,098 ", 0 ," 3,813 ", 0 ," 4,274 ", 0 ," 1,312 ", 0 ," 1,549 ", 0 ," 427,960 ", 0 ," 482,563 ", 0 , 299 , 0 
 73 , FINLAND ,120559.43, 0 ,98365.49, 0 ," 1,635 ", 0 ," 151,226 ", 0 ," 172,483 ", 0 ," 252,903 ", 0 ," 201,777 ", 0 ," 162,885 ", 0 ," 3,517,870 ", 2 ," 3,158,610 ", 2 ," 3,657,423 ", 2 ," 3,611,160 ", 2 ," 4,177 ", 0 ," 6,878 ", 0 ," 1,208 ", 0 ," 1,218 ", 0 ," 1,397 ", 0 
 74 , FR GUIANA ,17546.61, 0 ,1088.04, 0 , 491 , 0 , 761 , 0 ," 1,814 ", 0 ," 21,948 ", 0 ," 36,415 ", 0 , 765 , 0 ," 29,043 ", 0 ," 29,072 ", 0 ," 38,645 ", 0 ," 32,206 ", 0 ," 3,532,922 ", 2 ," 4,960,510 ", 2 ," 8,154 ", 0 ," 9,931 ", 0 ," 1,411,936 ", 2 
 75 , FR POLYNESIA ,587.01, 0 ,381.39, 0 , 1 , -   ," 5,697 ", 0 , 964 , 0 ," 1,704 ", 0 ," 1,884 ", 0 ," 2,505 ", 0 ," 41,773 ", 0 ," 77,522 ", 0 ," 109,723 ", 0 ," 93,701 ", 0 ," 43,438 ", 0 ," 39,504 ", 0 ," 6,104,859 ", 2 ," 5,912,570 ", 2 ," 10,610 ", 0 
 76 , FR S ANT TR ,0.78, -   ,0.36, -   ," 2,368,748 ", 2 , 9 , -   , 3 , -   ,,,,, 39 , -   ," 60,884 ", 0 ," 49,774 ", 0 ," 77,356 ", 0 ," 58,758 ", 0 ," 95,730 ", 0 ," 114,077 ", 0 ," 64,737 ", 0 ," 60,126 ", 0 ," 17,034 ", 0 
 77 , FRANCE ,1377671.15, 2 ,1799941.28, 2 ," 17,069 ", 0 ," 2,202,080 ", 2 ," 2,710,586 ", 2 ," 3,095,127 ", 2 ," 3,032,342 ", 2 ," 3,032,612 ", 2 ," 4,815,370 ", 3 ," 5,599,363 ", 3 ," 6,220,063 ", 3 ," 5,872,262 ", 3 ," 73,551 ", 0 ," 122,137 ", 0 ," 98,596 ", 0 ," 145,449 ", 0 ," 29,443 ", 0 
 78 , GABON ,9922.00, 0 ,11760.52, 0 ," 18,947 ", 0 ," 22,705 ", 0 ," 29,505 ", 0 ," 32,120 ", 0 ," 26,027 ", 0 ," 24,166 ", 0 ," 456,586 ", 0 ," 409,802 ", 0 ," 500,679 ", 0 ," 437,452 ", 0 ," 6,011,271 ", 3 ," 7,371,638 ", 2 ," 213,195 ", 0 ," 163,377 ", 0 ," 1,368,545 ", 2 
 79 , GAMBIA ,14067.84, 0 ,17487.86, 0 ," 33,182 ", 0 ," 30,928 ", 0 ," 30,206 ", 0 ," 51,573 ", 0 ," 44,902 ", 0 ," 39,134 ", 0 ," 863,155 ", 0 ," 187,844 ", 0 ," 401,793 ", 0 ," 444,137 ", 0 ," 637,869 ", 0 ," 826,936 ", 0 ," 8,139,691 ", 2 ," 8,145,947 ", 2 ," 159,632 ", 0 
 80 , GEORGIA ,33414.71, 0 ,26265.96, 0 ," 3,071,854 ", 3 ," 59,041 ", 0 ," 67,455 ", 0 ," 55,469 ", 0 ," 53,005 ", 0 ," 54,218 ", 0 ," 255,016 ", 0 ," 279,522 ", 0 ," 350,287 ", 0 ," 316,194 ", 0 ," 153,581 ", 0 ," 368,347 ", 0 ," 771,844 ", 0 ," 910,344 ", 0 , 87 , 0 
 81 , GERMANY ,2919475.35, 3 ,2563293.28, 3 ," 263,684 ", 0 ," 3,796,532 ", 3 ," 3,940,811 ", 2 ," 4,551,944 ", 2 ," 4,606,197 ", 2 ," 4,645,663 ", 3 , 0 , -   , 5 , -   , 2 , -   , 19 , -   ," 404,416 ", 0 ," 805,277 ", 0 ," 361,329 ", 0 ," 688,464 ", 0 ," 134,617 ", 0 
 82 , GHANA ,249717.48, 0 ,184445.29, 0 ," 67,105 ", 0 ," 384,306 ", 0 ," 404,967 ", 0 ," 504,519 ", 0 ," 416,979 ", 0 ," 409,083 ", 0 ," 2,028 ", 0 ," 1,700 ", 0 ," 2,638 ", 0 ," 1,978 ", 0 , 826 , 0 ," 1,036 ", 0 ," 630,904 ", 0 ," 873,560 ", 0 , 3 , -   
 83 , GIBRALTAR ,4025.93, 0 ,299644.52, 0 ," 165,739 ", 0 ," 139,984 ", 0 , 145 , 0 ," 60,580 ", 0 ," 393,328 ", 0 ," 779,621 ", 0 ," 2,940 ", 0 ," 3,448 ", 0 ," 2,395 ", 0 ," 5,653 ", 0 ," 2,114 ", 0 ," 2,950 ", 0 , 28 , -   , 189 , 0 , 196 , 0 
 84 , GREECE ,406323.82, 0 ,214976.71, 0 , 47 , -   ," 377,226 ", 0 ," 163,237 ", 0 ," 202,545 ", 0 ," 220,425 ", 0 ," 220,347 ", 0 , 327 , 0 , 568 , 0 , 457 , 0 , 644 , 0 ," 1,970 ", 0 ," 2,675 ", 0 ," 3,120 ", 0 ," 3,647 ", 0 , 653 , 0 
 85 , GREENLAND ,38.41, -   ,177.83, 0 , 462 , 0 , 134 , 0 , 255 , 0 ," 1,054 ", 0 , 690 , 0 ," 5,693 ", 0 ," 161,732 ", 0 ," 188,219 ", 0 ," 213,691 ", 0 ," 206,753 ", 0 , 552 , 0 ," 1,255 ", 0 ," 2,715 ", 0 ," 3,820 ", 0 , 135 , 0 
 86 , GRENADA ,207.18, 0 ,308.04, 0 ," 2,831 ", 0 , 495 , 0 , 464 , 0 , 895 , 0 , 819 , 0 ," 1,222 ", 0 ,,, 20 , -   , 0 , -   , 0 , -   ," 244,758 ", 0 ," 411,218 ", 0 , 517 , 0 , 700 , 0 ," 85,697 ", 0 
 87 , GUADELOUPE ,684.83, 0 ,1687.70, 0 , 826 , 0 ," 3,350 ", 0 ," 3,591 ", 0 ," 3,948 ", 0 ," 2,537 ", 0 ," 1,872 ", 0 ," 237,889 ", 0 ," 243,647 ", 0 ," 282,836 ", 0 ," 251,587 ", 0 , -   , -   ,,," 373,750 ", 0 ," 462,899 ", 0 ," 141,800 ", 0 
 88 , GUAM ,248.38, 0 ,276.17, 0 ," 51,390 ", 0 , 930 , 0 , 550 , 0 , 168 , 0 , 255 , 0 , 251 , 0 ," 14,520 ", 0 ," 6,885 ", 0 ," 7,563 ", 0 ," 6,363 ", 0 ," 371,576 ", 0 ," 418,260 ", 0 ," 506,361 ", 0 ," 576,427 ", 0 ," 1,511 ", 0 
 89 , GUATEMALA ,36984.11, 0 ,41055.31, 0 ," 43,866 ", 0 ," 92,124 ", 0 ," 122,210 ", 0 ," 128,931 ", 0 ," 140,100 ", 0 ," 167,572 ", 0 ," 13,450 ", 0 ," 16,779 ", 0 ," 20,722 ", 0 ," 17,867 ", 0 ," 13,339 ", 0 ," 7,908 ", 0 ," 7,953 ", 0 ," 5,782 ", 0 ," 12,212 ", 0 
 90 , GUINEA ,35446.38, 0 ,37671.90, 0 ," 1,389 ", 0 ," 62,648 ", 0 ," 112,040 ", 0 ," 123,699 ", 0 ," 173,476 ", 0 ," 181,825 ", 0 ," 47,909 ", 0 ," 60,585 ", 0 ," 55,504 ", 0 ," 46,474 ", 0 ," 26,286 ", 0 ," 49,531 ", 0 ," 49,984 ", 0 ," 82,335 ", 0 ," 3,106 ", 0 
 91 , GUINEA BISSAU ,16491.57, 0 ,1494.50, 0 ," 7,318 ", 0 ," 6,222 ", 0 ," 5,870 ", 0 ," 11,696 ", 0 ," 5,963 ", 0 ," 9,534 ", 0 ,,, 24 , -   , 19 , -   ,,," 79,638 ", 0 ," 74,167 ", 0 ," 70,362 ", 0 ," 87,402 ", 0 ," 35,643 ", 0 
 92 , GUYANA ,5555.41, 0 ,7715.78, 0 ," 27,537 ", 0 ," 10,224 ", 0 ," 11,949 ", 0 ," 14,695 ", 0 ," 14,947 ", 0 ," 14,288 ", 0 ," 90,447 ", 0 ," 94,251 ", 0 ," 116,879 ", 0 ," 131,352 ", 0 ," 120,429 ", 0 ," 236,871 ", 0 ," 219,084 ", 0 ," 220,143 ", 0 ," 774,253 ", 1 
 93 , HAITI ,20342.04, 0 ,15668.16, 0 , 205 , 0 ," 23,110 ", 0 ," 34,680 ", 0 ," 35,831 ", 0 ," 52,378 ", 0 ," 40,614 ", 0 ," 9,411,493 ", 5 ," 9,467,735 ", 5 ," 9,111,742 ", 4 ," 7,775,243 ", 4 ," 7,520,143 ", 3 ," 8,183,453 ", 3 ," 7,949,742 ", 2 ," 6,829,915 ", 2 ," 71,199 ", 0 
 94 , HEARD MACDONALD ,0.09, -   ,0.63, -   ," 28,809 ", 0 ,,, 1 , -   , 16 , -   , 35 , -   ,,," 272,507 ", 0 ," 259,549 ", 0 ," 320,458 ", 0 ," 300,344 ", 0 ," 366,754 ", 0 ," 410,612 ", 0 ," 462,527 ", 0 ," 464,769 ", 0 ," 1,450 ", 0 
 95 , HONDURAS ,31588.43, 0 ,21515.76, 0 ," 4,703,842 ", 4 ," 44,210 ", 0 ," 59,976 ", 0 ," 65,531 ", 0 ," 114,965 ", 0 ," 101,414 ", 0 ," 11,210 ", 0 ," 3,802 ", 0 ," 21,791 ", 0 ," 7,145 ", 0 ," 8,078 ", 0 ," 8,780 ", 0 ," 8,378 ", 0 ," 10,064 ", 0 ," 782,813 ", 1 
 96 , HONG KONG ,3039069.39, 4 ,3730053.40, 4 ," 96,805 ", 0 ," 6,187,723 ", 4 ," 6,689,817 ", 4 ," 7,724,096 ", 4 ," 8,311,857 ", 4 ," 7,930,702 ", 5 ," 2,340,069 ", 1 ," 2,556,176 ", 1 ," 3,687,106 ", 2 ," 2,929,938 ", 1 ," 3,715,669 ", 2 ," 6,319,650 ", 2 ," 8,033,518 ", 2 ," 4,951,517 ", 1 ," 190,180 ", 0 
 97 , HUNGARY ,199667.93, 0 ,128182.66, 0 ," 38,606 ", 0 ," 151,592 ", 0 ," 176,181 ", 0 ," 207,994 ", 0 ," 213,422 ", 0 ," 225,840 ", 0 ," 53,433 ", 0 ," 22,401 ", 0 ," 2,446,096 ", 1 ," 2,385,429 ", 1 ," 1,321,185 ", 1 ," 1,083,118 ", 0 ," 1,327,244 ", 0 ," 1,011,729 ", 0 ," 470,053 ", 1 
 98 , ICELAND ,5708.88, 0 ,8015.05, 0 ," 2,592,441 ", 2 ," 15,985 ", 0 ," 14,093 ", 0 ," 11,979 ", 0 ," 12,200 ", 0 ," 12,176 ", 0 ," 1,595,528 ", 1 ," 1,709,371 ", 1 ," 1,250,650 ", 1 ," 1,328,660 ", 1 ," 1,110,518 ", 1 ," 1,796,958 ", 1 ," 2,177,664 ", 1 ," 2,776,676 ", 1 ," 86,499 ", 0 
 99 , INDONESIA ,1157782.95, 1 ,1460463.91, 2 ," 1,133,689 ", 1 ," 3,210,070 ", 2 ," 2,899,609 ", 2 ," 2,933,987 ", 2 ," 2,467,435 ", 1 ," 1,844,607 ", 1 ," 745,645 ", 0 ," 942,265 ", 0 ," 371,498 ", 0 ," 378,332 ", 0 ," 416,968 ", 0 ," 513,013 ", 0 ," 467,244 ", 0 ," 582,090 ", 0 ," 270,926 ", 0 
 100 , IRAN ,1156517.42, 1 ,880743.32, 1 ," 307,506 ", 0 ," 1,151,165 ", 1 ," 1,825,481 ", 1 ," 3,005,657 ", 2 ,,," 4,792 ", 0 ," 325,536 ", 0 ," 345,502 ", 0 ," 2,595,875 ", 1 ," 2,380,739 ", 1 ," 1,997,978 ", 1 ," 3,577,046 ", 1 ," 6,827,425 ", 2 ," 3,748,205 ", 1 ," 1,145,438 ", 2 
 101 , IRAQ ,198127.14, 0 ,226331.18, 0 ," 122,915 ", 0 ," 370,850 ", 0 ," 697,278 ", 0 ," 552,497 ", 0 ," 2,552,962 ", 1 ," 1,817,671 ", 1 ," 2,069,804 ", 1 ," 2,168,736 ", 1 ," 3,908,779 ", 2 ," 3,525,935 ", 2 ," 3,499,172 ", 2 ," 6,095,957 ", 2 ," 6,976,287 ", 2 ," 7,255,314 ", 2 ," 11,765 ", 0 
 102 , IRELAND ,203497.12, 0 ,123564.18, 0 ," 1,328,260 ", 1 ," 183,650 ", 0 ," 210,291 ", 0 ," 250,897 ", 0 ," 508,954 ", 0 ," 654,976 ", 0 ," 3,285,790 ", 2 ," 3,680,607 ", 2 ," 38,833 ", 0 ," 40,204 ", 0 ," 47,436 ", 0 ," 60,089 ", 0 ," 70,521 ", 0 ," 90,377 ", 0 ," 760,356 ", 1 
 103 , ISRAEL ,658430.72, 1 ,928943.79, 1 ," 2,069,068 ", 2 ," 1,932,660 ", 1 ," 2,034,668 ", 1 ," 2,275,714 ", 1 ," 467,133 ", 0 ," 344,295 ", 0 ," 28,849 ", 0 ," 33,684 ", 0 ," 3,401,029 ", 1 ," 3,200,287 ", 1 ," 3,281,818 ", 2 ," 4,604,199 ", 1 ," 4,383,430 ", 1 ," 4,269,323 ", 1 ,,
 104 , ITALY ,1736487.94, 2 ,1607224.74, 2 ," 10,151 ", 0 ," 2,327,166 ", 2 ," 2,377,873 ", 1 ," 3,188,717 ", 2 ," 2,007,125 ", 1 ," 1,846,687 ", 1 ," 2,578,624 ", 1 ," 3,050,599 ", 2 ,,, 0 , -   ," 467,334 ", 0 ," 662,510 ", 0 ,,, 0 , -   ," 96,958 ", 0 
 105 , JAMAICA ,10342.24, 0 ,9859.82, 0 ," 2,317,903 ", 2 ," 12,805 ", 0 ," 16,204 ", 0 ," 21,854 ", 0 ," 3,111,842 ", 2 ," 2,763,465 ", 2 ,,, 1 , -   ," 405,807 ", 0 ," 677,087 ", 0 ," 167,239 ", 0 ," 175,648 ", 0 ," 1,721,010 ", 0 ," 1,212,862 ", 0 ," 41,902 ", 0 
 106 , JAPAN ,1380771.30, 2 ,1714278.60, 2 ," 220,230 ", 0 ," 3,051,134 ", 2 ," 3,321,416 ", 2 ," 4,125,345 ", 2 ," 23,174 ", 0 ," 26,349 ", 0 ," 350,435 ", 0 ," 347,843 ", 0 ," 100,412 ", 0 ," 143,560 ", 0 ," 1,403,084 ", 1 ," 1,962,269 ", 1 ," 349,940 ", 0 ," 195,929 ", 0 ," 292,287 ", 0 
 107 , JORDAN ,196036.40, 0 ,116368.75, 0 ," 78,443 ", 0 ," 397,686 ", 0 ," 545,265 ", 0 ," 982,730 ", 1 ," 3,283,569 ", 2 ," 3,043,467 ", 2 ," 81,084 ", 0 ," 80,792 ", 0 ," 1,444,068 ", 1 ," 1,493,657 ", 1 , 530 , 0 ," 1,223 ", 0 ," 2,628,344 ", 1 ," 2,631,295 ", 1 ," 1,376 ", 0 
 108 , KAZAKHSTAN ,60244.72, 0 ,64821.66, 0 ," 994,753 ", 1 ," 117,145 ", 0 ," 155,914 ", 0 ," 158,010 ", 0 ," 869,670 ", 0 ," 326,543 ", 0 ," 1,471,468 ", 1 ," 1,272,449 ", 1 , 255 , 0 , 272 , 0 ," 2,088 ", 0 , 253 , 0 ," 1,220 ", 0 , 858 , 0 , 51 , 0 
 109 , KENYA ,614088.18, 1 ,689241.82, 1 , 57 , 0 ," 1,098,722 ", 1 ," 2,052,570 ", 1 ," 2,359,554 ", 1 ," 153,244 ", 0 ," 99,437 ", 0 , 316 , 0 , 355 , 0 ," 19,112 ", 0 ," 6,375 ", 0 ," 3,469,423 ", 2 ," 6,034,957 ", 2 ," 1,372 ", 0 ," 1,700 ", 0 ," 730,428 ", 1 
 110 , KIRIBATI REP ,980.00, 0 ,155.90, 0 ," 149,100 ", 0 , 589 , 0 , 194 , 0 , 579 , 0 ," 2,514,813 ", 1 ," 1,977,751 ", 1 ," 30,064 ", 0 ," 37,219 ", 0 ," 3,287,797 ", 1 ," 3,433,765 ", 2 ," 779,651 ", 0 ," 926,388 ", 0 ," 5,327,535 ", 1 ," 5,311,499 ", 1 ," 296,760 ", 0 
 111 , KOREA DP RP ,403661.57, 0 ,199342.66, 0 ," 1,695,281 ", 1 ," 110,708 ", 0 ," 109,939 ", 0 ," 114,326 ", 0 , 616 , 0 , 615 , 0 ," 2,843,672 ", 2 ," 2,875,144 ", 1 ," 931,940 ", 0 ," 911,191 ", 0 ," 28,605 ", 0 ," 24,514 ", 0 ," 1,255,483 ", 0 ," 1,743,093 ", 0 ," 6,148 ", 0 
 112 , KOREA RP ,1835359.19, 2 ,1612681.15, 2 ," 844,710 ", 1 ," 2,076,776 ", 1 ," 2,287,025 ", 1 ," 2,547,092 ", 1 ," 46,806 ", 0 ," 72,976 ", 0 ," 1,004,666 ", 1 ," 880,376 ", 0 ," 20,959 ", 0 ," 20,641 ", 0 ," 20,338 ", 0 ," 10,911 ", 0 ," 42,212 ", 0 ," 37,847 ", 0 ," 1,955 ", 0 
 113 , KUWAIT ,362840.57, 0 ,371037.53, 0 ," 11,725 ", 0 ," 566,532 ", 0 ," 577,830 ", 0 ," 643,494 ", 0 ," 2,808,474 ", 1 ," 2,304,348 ", 1 ," 20,384 ", 0 ," 18,427 ", 0 ," 27,505 ", 0 ," 17,738 ", 0 ," 76,676 ", 0 ," 98,953 ", 0 ," 13,660 ", 0 ," 10,659 ", 0 ," 30,538 ", 0 
 114 , KYRGHYZSTAN ,10385.08, 0 ,12691.45, 0 ," 5,944 ", 0 ," 14,666 ", 0 ," 19,038 ", 0 ," 20,820 ", 0 ," 733,291 ", 0 ," 816,059 ", 0 ," 17,221 ", 0 ," 16,116 ", 0 ," 81,020 ", 0 ," 84,444 ", 0 ," 140,719 ", 0 ," 233,795 ", 0 ," 151,126 ", 0 ," 182,514 ", 0 ," 45,416 ", 0 
 115 , LAO PD RP ,4445.31, 0 ,8120.26, 0 ," 47,110 ", 0 ," 7,320 ", 0 ," 15,713 ", 0 ," 30,499 ", 0 ," 23,054 ", 0 ," 16,358 ", 0 ," 77,575 ", 0 ," 72,291 ", 0 ," 187,778 ", 0 ," 144,156 ", 0 ," 29,531 ", 0 ," 8,157 ", 0 ," 322,900 ", 0 ," 285,447 ", 0 ," 1,153 ", 0 
 116 , LATVIA ,20389.30, 0 ,22199.04, 0 ," 80,296 ", 0 ," 46,042 ", 0 ," 56,674 ", 0 ," 61,733 ", 0 ," 41,294 ", 0 ," 24,612 ", 0 ," 141,206 ", 0 ," 165,705 ", 0 ," 21,343 ", 0 ," 28,795 ", 0 ," 167,157 ", 0 ," 184,385 ", 0 ," 11,931 ", 0 ," 4,609 ", 0 ," 66,715 ", 0 
 117 , LEBANON ,61349.66, 0 ,62368.92, 0 ," 8,448 ", 0 ," 112,040 ", 0 ," 136,515 ", 0 ," 177,569 ", 0 ," 59,964 ", 0 ," 51,871 ", 0 ," 22,233 ", 0 ," 20,334 ", 0 ," 124,880 ", 0 ," 154,914 ", 0 ," 113,960 ", 0 ," 178,919 ", 0 ," 208,199 ", 0 ," 201,541 ", 0 ," 126,030 ", 0 
 118 , LESOTHO ,15730.64, 0 ,6779.36, 0 ," 20,046 ", 0 ," 10,133 ", 0 ," 10,003 ", 0 ," 18,858 ", 0 ," 170,847 ", 0 ," 157,070 ", 0 ," 97,884 ", 0 ," 165,816 ", 0 ," 110,014 ", 0 ," 130,690 ", 0 ," 2,791 ", 0 ," 1,458 ", 0 ," 272,968 ", 0 ," 468,321 ", 0 , 227 , 0 
 119 , LIBERIA ,13483.02, 0 ,13993.12, 0 ," 60,130 ", 0 ," 38,003 ", 0 ," 69,323 ", 0 ," 154,578 ", 0 ," 23,436 ", 0 ," 19,620 ", 0 ," 80,457 ", 0 ," 78,656 ", 0 ," 2,373 ", 0 ," 3,081 ", 0 ," 120,707 ", 0 ," 247,050 ", 0 , 242 , 0 , 730 , 0 ," 41,926 ", 0 
