Country,Year_2008_2009,Year_2009_2010,Year_2010_2011,Year_2011_2012,Year_2012_2013,Year_2013_2014,Year_2014_2015,Year_2015_2016,Year_2016_2017,Year_2017_2018,Year_2018_2019,Year_2019_2020,Year_2020_2021,Year_2021_2022,Year_2022_2023,Year_2023_2024,Year_2024_2025
 LAO PD RP ,4445.31,8120.26,47110.0,7320.0,15713.0,30499.0,23054.0,16358.0,77575.0,72291.0,187778.0,144156.0,29531.0,8157.0,322900.0,285447.0,1153.0
 LATVIA ,20389.3,22199.04,80296.0,46042.0,56674.0,61733.0,41294.0,24612.0,141206.0,165705.0,21343.0,28795.0,167157.0,184385.0,11931.0,4609.0,66715.0
 LEBANON ,61349.66,62368.92,8448.0,112040.0,136515.0,177569.0,59964.0,51871.0,22233.0,20334.0,124880.0,154914.0,113960.0,178919.0,208199.0,201541.0,126030.0
 LESOTHO ,15730.64,6779.36,20046.0,10133.0,10003.0,18858.0,170847.0,157070.0,97884.0,165816.0,110014.0,130690.0,2791.0,1458.0,272968.0,468321.0,227.0
 LIBERIA ,13483.02,13993.12,60130.0,38003.0,69323.0,154578.0,23436.0,19620.0,80457.0,78656.0,2373.0,3081.0,120707.0,247050.0,242.0,730.0,41926.0
 LIBYA ,59829.6,105495.91,75.0,30207.0,117077.0,173360.0,126502.0,87403.0,495.0,1798.0,89051.0,78550.0,9326.0,10856.0,284908.0,260445.0,9158.0
 LIECHTENSTEIN ,2109.99,27.37,37921.0,65.0,149.0,194.0,99870.0,80122.0,64368.0,66939.0,20912.0,14438.0,6696.0,8938.0,33486.0,32807.0,374.0
 LITHUANIA ,27293.6,31131.95,8563.0,65749.0,80254.0,63495.0,118.0,546.0,7702.0,7343.0,729.0,4498.0,17150.0,22792.0,3521.0,795.0,4632.0
 LUXEMBOURG ,5138.89,2250.22,654.0,4317.0,4465.0,7048.0,63100.0,57862.0,1015.0,8945.0,13681.0,16022.0,240657.0,262010.0,22488.0,30339.0,31808.0
 MACAO ,2580.3,19367.34,3799.0,731.0,525.0,989.0,5886.0,5290.0,9986.0,11206.0,138350.0,213387.0,112064.0,112158.0,425495.0,191866.0,16134.0
 MACEDONIA ,4755.99,3299.5,36047.0,4257.0,4956.0,6497.0,1465.0,1292.0,142837.0,146907.0,141795.0,130729.0,4497079.0,5212357.0,92276.0,72217.0,1325751.0
 MADAGASCAR ,111534.4,41092.14,46286.0,59760.0,83937.0,145634.0,8889.0,8419.0,119524.0,128650.0,4510372.0,4510642.0,145156.0,498289.0,5726517.0,6016559.0,79822.0
 MALAWI ,40906.58,38696.72,1767721.0,70816.0,83363.0,134332.0,102095.0,128421.0,3504936.0,3673821.0,155689.0,160809.0,138270.0,154598.0,383517.0,738770.0,16697.0
 MALAYSIA ,1578036.2,1350392.32,45554.0,1910321.0,2414351.0,2541361.0,130661.0,115362.0,132520.0,139866.0,91519.0,103778.0,237158.0,356892.0,106629.0,99089.0,36133.0
 MALDIVES ,59028.43,37849.5,29610.0,59779.0,66610.0,64299.0,3561411.0,2415933.0,72287.0,79644.0,160644.0,147351.0,458.0,777.0,248132.0,411447.0,89.0
 MALI ,17907.49,19962.95,341332.0,47499.0,42776.0,65863.0,93315.0,117112.0,92233.0,126241.0,225.0,23135.0,3149.0,4660.0,384.0,1816.0,505.0
 MALTA ,48608.92,331357.88,89.0,409211.0,216176.0,102831.0,81967.0,70780.0,96.0,9013.0,2502.0,2686.0,65640.0,72257.0,4132.0,3803.0,17850.0
 MARSHALL ISLAND ,49.56,30.97,2208.0,239.0,49.0,705.0,201788.0,211728.0,2767.0,2854.0,80501.0,59594.0,312516.0,532593.0,118109.0,79808.0,151204.0
 MARTINIQUE ,19097.74,2621.93,15254.0,3042.0,3199.0,4660.0,76.0,66973.0,44226.0,53675.0,809097.0,466352.0,4176.0,2592.0,372009.0,645386.0,812.0
 MAURITANIA ,16367.53,14470.53,386061.0,22417.0,22766.0,35084.0,3754.0,2943.0,591974.0,694661.0,1961.0,2222.0,2282894.0,3298130.0,4511.0,6271.0,833789.0
 MAURITIUS ,439831.09,213621.61,415449.0,676908.0,713662.0,607739.0,36038.0,38246.0,116.0,48.0,2678626.0,2565261.0,531.0,458.0,4169332.0,4408459.0,68.0
 MEXICO ,301051.91,281108.28,294.0,657845.0,886220.0,1357128.0,1164923.0,557219.0,2320559.0,2438432.0,236.0,373.0,8564.0,6738.0,475.0,513.0,1633.0
 MICRONESIA ,41.97,77.98,3429.0,96.0,102.0,337.0,1752717.0,1879337.0,94.0,192.0,6036.0,6150.0,1413.0,2667.0,9647.0,10357.0,466.0
 MOLDOVA ,3065.25,3094.92,477.0,3575.0,4855.0,6358.0,141.0,234.0,4500.0,4604.0,1766.0,1393.0,13996.0,19358.0,2218.0,1954.0,4647.0
 MONACO ,158.76,193.69,9417.0,252.0,408.0,186.0,5373.0,5100.0,1027.0,1253.0,15801.0,11524.0,14811.0,16212.0,27322.0,27452.0,24931.0
